pop,country,long,lat,source
Nagoya,1_Asia,137.313847,34.754996,tok
Osaka,1_Asia,135.372313,34.668863,sea
Tokyo,1_Asia,139.807569,35.517516,tok
Mangoku,1_Asia,141.363227,38.408407,hon
Yamagushi,1_Asia,131.386441,34.026037,sea
Matsue,1_Asia,133.202009,35.504984,nonSource
ELK,2_wNA,-121.782211,36.811069,PNW
SFB,2_wNA,-122.335003,37.800259,Cali
ORE,2_wNA,-124.269392,43.418489,Cali
GUA,3_Eur,-6.363455,36.793796,EU
GIR,3_Eur,-1.072222,45.575869,EU
CHA,3_Eur,-1.072894,45.951437,EU
BEL,3_Eur,3.209747,51.344896,EU
ENG,3_Eur,0.658292,51.494773,EU
