,n,reg
Ahigezaki,2,hon
Ainohama,2,tok
Akashi,1,sea
Amagasaki,1,sea
Asamushi,3,nonSource
Benten Cape,1,nonSource
Dae daepo,1,nonSource
Futamachiya,1,tok
Gamagori,1,tok
Geoje Island,1,nonSource
Hayama,1,tok
Hiraiga,3,hon
Imari,2,kag
Izumo,1,nonSource
Kanazawa,2,nonSource
Keyano-oto,1,tok
Kikonai,1,hok
Kobe Port,2,sea
Koujin Beach,2,hon
Kuranomoto,2,kag
Lake Akkeshi,1,hok
Lake Notoro,3,hok
Maruyama,2,hok
Nakai,1,tok
Nakano,1,tok
Nakaumi,3,nonSource
Obama,2,nonSource
Ogatsu,2,tok
Onyu Is.,1,sea
Sanouiwa,2,hon
Shidugawa,3,hon
Shikano-shima,2,kag
Songdo,1,nonSource
Tajiri,2,sea
Takeno,5,nonSource
Tamasaki,2,tok
Teguma,1,kag
Toba,3,tok
Tonoura,3,sea
Touji,1,sea
Tsuyazaki,1,kag
Wolpo,2,nonSource
Yashiro Is.,1,sea
Zenibako,3,hok
Acheron Passage,1,NZ
Aquarium point,1,NZ
Bait Pond,4,NZ
Bauza Island,2,NZ
Berghse Diepsluis,1,EuropeNorth
Blackhead,1,NZ
Boulder Bank,1,NZ
Bowen Channel,1,NZ
Brendan beach,1,NZ
Brighton Beach,4,NZ
Cave Rock,1,NZ
Constant Bay,1,NZ
Copper pad,1,NZ
Deep Cove,1,NZ
Eleanor Island,1,NZ
Evening Point,1,NZ
First Cove,1,NZ
Friendship Head,1,NZ
Gisborne,2,NZ
Gorishoek,1,EuropeNorth
Grays Harbor,1,USA
Halfmoon Bay,1,NZ
Island Bay,2,NZ
Kaka Point,1,NZ
Kakanui Beach,1,NZ
Kemps Beach,1,NZ
Kiritehere,1,NZ
La Jolla,1,USA
Labird Channel,6,NZ
Langs Beach,2,NZ
Lyall Bay west,1,NZ
Lyttelton Marina,1,NZ
Lyttelton Port,4,NZ
Malaspina Reach,1,NZ
Mana marina,1,NZ
Mangamaunu,3,NZ
Mangere Island,1,NZ
Marfells Beach,2,NZ
Marlborough Sounds,1,NZ
Mill Bay creek,1,NZ
Moeraki,1,NZ
Moeraki Boulders,1,NZ
Monkey Island,2,NZ
Napier,1,NZ
Napier Port,4,NZ
Ocean Beach,4,NZ
OiNeill Bay,1,NZ
Onaero,1,NZ
Oponoi,1,NZ
Otago Point,1,NZ
Picton floating dock,2,NZ
Picton Port,2,NZ
Pigeon Bay,1,NZ
Piha,1,NZ
Pohara Wharf,1,NZ
Porirua Harbour,1,NZ
Port Hutt,1,NZ
Port of Peninsula,1,USA
Port Taranaki,1,NZ
Port William,1,NZ
Pukerua Bay,2,NZ
Red Head Island,2,NZ
Riverton Rocks,1,NZ
Roscoff,1,EuropeSouth
Scorching Bay,3,NZ
South of Charleston,1,NZ
Station Islet,1,NZ
Stella base site,1,NZ
Tapeka Point,1,NZ
Tauranga Port,2,NZ
Taylors Mistake,1,NZ
Te Henga,3,NZ
Thau Lagoon,2,EuropeSouth
The Cliff site,1,NZ
Timaru Port,4,NZ
Tirohanga,1,NZ
Titahi Bay,1,NZ
Tricky Cove,1,NZ
Waikawa Bay,1,NZ
Waitangi,1,NZ
Waitara,1,NZ
Wellington Port,3,NZ
Whangatere Inlet,1,NZ
Wharariki,1,NZ
